,Winery,Year,Wine ID,Wine,Rating,num_review,price,Country,Region
0,Vinicola de Castilla,2022,6151295,Palacio del Marques 2022,3.5,64,2.0,España,La Mancha
1,Calabuig,2022,3957265,Tinto 2022,3.6,2294,2.85,España,Valencia
2,Finca Vieja,2021,1243721,Crianza 2021,3.2,939,2.9,España,La Mancha
3,Finca Venta de Don Quijote,2023,1374696,Red Blend 2023,3.0,64,2.96,España,La Mancha
4,Castillo de Liria,2021,1643745,Bobal - Shiraz 2021,3.3,138,3.1,España,Valencia
5,Las Campanas,2021,7528321,Selección Especial 2021,3.7,185,3.25,España,Navarra
6,Dominio de Eguren,2022,1207654,Protocolo Tinto 2022,3.6,98,3.44,España,Castilla
7,J. Fernando,2022,8995849,Barrica 6 Meses Tempranillo 2022,3.6,59,3.47,España,Castilla
8,Schenk Spanish Wineries,2023,1884409,Vega Libre Tinto 2023,3.0,3325,3.5,España,Valencia
9,Canforrales,2023,1252277,Clásico Tempranillo 2023,3.5,1294,3.5,España,La Mancha
10,Valcarlos,2021,1546447,Fortius Roble 2021,3.5,69,3.55,España,Navarra
11,Dominio de Eguren,2021,1207654,Protocolo Tinto 2021,3.6,270,3.69,España,Castilla
12,Don Frutos,2022,1835508,Tinto 2022,3.0,39,3.71,España,Castilla y León
13,Los Hermanos Manzanos,2020,1657531,Tempranillo 2020,3.6,194,3.79,España,Rioja
14,Marqués de Griñon,2023,7827926,Tinto 2023,3.2,129,3.81,España,Rioja
15,Calabuig,2023,3957265,Tinto 2023,3.6,2294,3.85,España,Valencia
16,Empordàlia,2023,1698923,Verdera Negre 2023,3.1,943,3.9,España,Empordà
17,Bodega Pirineos,2024,12317744,Colección Monovarietal Montesierra Garnacha 2024,3.6,56,3.9,España,Aragón
18,Volver,2023,5882466,Espeto Tinto 2023,3.5,32,3.9,España,Castilla
19,Hoya de Cadenas,2022,4662725,Shiraz Crianza 2022,3.4,528,3.99,España,Utiel-Requena
20,Hoya de Cadenas,2021,2439929,Merlot 2021,3.2,277,3.99,España,Utiel-Requena
21,J. Fernando,2022,9001131,Barrica 12 Meses Tempranillo 2022,3.7,139,3.99,España,Castilla
22,Hoya de Cadenas,2021,6117701,Cabernet Sauvignon Crianza 2021,3.4,2071,3.99,España,Utiel-Requena
23,Ramón Roqueta,2023,1489241,Synera Tinto 2023,3.0,1827,4.0,España,Cataluña
24,El Circo,2023,1461554,Contorsionista Cabernet Sauvignon 2023,3.3,1130,4.0,España,Cariñena
25,El Circo,2023,2137289,Volatinero Tempranillo 2023,3.5,5013,4.0,España,Cariñena
26,Bodega Sommos,2023,4171137,Glárima Merlot - Tempranillo 2023,3.6,70,4.05,España,Somontano
27,Félix Solís,2021,3349567,Casa Albali Tempranillo - Shiraz 2021,3.6,121,4.1,España,Valdepeñas
28,Bodegas Ayuso,2020,2198505,Estola Crianza 2020,3.5,52,4.11,España,La Mancha
29,Hoya de Cadenas,2020,1437851,Reserva Tempranillo 2020,3.5,510,4.15,España,Utiel-Requena
30,Bodegas Faustino,2022,1129392,VII Tempranillo 2022,3.6,1278,4.15,España,Rioja
31,Félix Solís,2019,1823360,Viña Albali Reserva 2019,3.6,1211,4.18,España,Valdepeñas
32,Bodegas Estéban Martín,2023,1242981,Vinem Garnacha - Syrah 2023,3.3,2263,4.2,España,Cariñena
33,Bodegas Aragonesas,2023,1577616,Coto de Hayas Tempranillo - Cabernet Sauvignon Roble 2023,3.4,4221,4.2,España,Campo de Borja
34,Falset Marçà,2021,1373160,Imus Selection 2021,3.4,152,4.22,España,Montsant
35,San Valero,2023,5314823,Origium Roble 2023,3.5,3433,4.25,España,Cariñena
36,Mesta,2023,2667414,Tempranillo Selección 2023,3.3,91,4.25,España,Uclés
37,Yugo,2024,1582563,Selección Tinto 2024,3.3,509,4.25,España,La Mancha
38,Félix Solís,2015,2667778,Casa Albali Crianza 2015,3.5,57,4.25,España,Valdepeñas
39,Cellers Domenys,2023,8519066,Capvespre Origen Negre 2023,3.3,61,4.25,España,Cataluña
40,Bodegas Vallobera,2014,1205627,Crianza Rioja 2014,3.6,628,4.26,España,Rioja
41,Berceo,2018,5389307,Tempranillo 2018,3.5,190,4.28,España,Rioja
42,Garriguella,2023,1196777,Dinarells Tinto 2023,3.2,579,4.3,España,Empordà
43,Alsina & Sarda,2023,7162764,Vi de Terrer Onom 2023,3.2,462,4.3,España,Penedès
44,Finca Constancia,2022,1706171,Altozano Tempranillo 2022,3.7,114,4.3,España,Castilla
45,Nuviana,2023,5250039,Tinto 2023,3.1,1921,4.33,España,Valle del Cinca
46,Bach,2022,1255221,Viña Extrísima Tinto 2022,3.4,78,4.4,España,Cataluña
47,Poesia,2021,2036896,Criança 2021,3.1,371,4.4,España,Cataluña
48,Bodegas Aragonesas,2023,1144372,Coto de Hayas Garnacha - Syrah 2023,3.3,1918,4.4,España,Aragón
49,Poesia,2019,2036896,Criança 2019,3.1,371,4.4,España,Cataluña
50,Bodegas Faustino,2022,9880817,VII Cabernet Sauvignon 2022,3.8,31,4.4,España,Vino de España
51,Cellers Tarroné,2023,1467379,Mas Tarroné Negre 2023,3.0,655,4.4,España,Terra Alta
52,Pillet,2022,6024802,Negre 2022,2.4,52,4.42,España,Cariñena
53,Azabache,2023,7151382,Tunante de Azabache Tempranillo 2023,3.6,176,4.45,España,Rioja
54,Rigau Ros,2020,1467514,Criança 2020,3.7,55,4.45,España,Empordà
55,Condesa de Leganza,2021,1173157,Tempranillo 2021,3.6,137,4.46,España,Castilla
56,Canforrales,2022,3146052,Nature Syrah - Tempranillo 2022,3.5,383,4.48,España,La Mancha
57,Vinicola de Castilla,2021,1454671,Señorío de Guadianeja Syrah 2021,3.6,88,4.48,España,Castilla
58,Raiza,2022,1165877,Altos de Raiza 2022,3.5,1501,4.49,España,Rioja
59,Murviedro,2018,1250722,Colección Tempranillo 2018,3.6,339,4.49,España,Valencia
60,Malamigo,2022,11779553,El Rebelde Red Blend 2022,3.8,44,4.49,España,Vino de España
61,The Freaky Wines,2023,5537773,Tempranillo 2023,3.4,2971,4.49,España,Castilla
62,Federico Paternina,2020,13190,Banda Azul Crianza 2020,3.6,1135,4.49,España,Rioja
63,Ca N'Estella,2022,1446183,Clot Dels Oms Petit Tinto 2022,3.4,32,4.5,España,Penedès
64,Poesia,2021,5590738,Garnacha Negra 2021,3.2,77,4.5,España,Cataluña
65,Bodegas Yuntero,2022,1394525,Tempranillo - Syrah 2022,3.2,302,4.5,España,La Mancha
66,Bodegas Aragonesas,2022,1239615,Solo Syrah Tirio 2022,3.5,1788,4.5,España,Campo de Borja
67,Cellers Tarroné,2023,2403659,Sisquera Tinto 2023,3.3,922,4.5,España,Tarragona
68,Pagos del Rey,2022,9214864,Sentero Tinta de Toro Joven 2022,3.7,113,4.5,España,Toro
69,Poesia,2023,5590738,Garnacha Negra 2023,3.2,77,4.5,España,Cataluña
70,Vina Herminia,2021,1447899,Rioja Preferido 2021,3.1,160,4.5,España,Rioja
71,Domeco de Jarauta,2023,1158349,Viña Marro 2023,3.7,727,4.5,España,Rioja
72,Leyenda del Páramo,2021,5109105,Flor del Páramo Tinto 2021,2.8,35,4.5,España,Tierra de León
73,Las Campanas,2020,50804,Crianza 2020,3.3,35,4.51,España,Navarra
74,Covitoro,2023,1148258,Cermeño Tinta de Toro 2023,3.3,894,4.54,España,Toro
75,Garriguella,2021,10269558,Llepafils Negre 2021,3.1,39,4.54,España,Empordà
76,Covila,2023,2411258,II Tinto 2023,3.1,185,4.55,España,Rioja
77,Yugo,2022,7760353,Barrica Tempranillo 2022,3.8,39,4.55,España,La Mancha
78,Volver,2021,9066860,Madame Monastrell 2021,3.7,124,4.55,España,Valencia
79,Murviedro,2021,4569474,Colección Bobal Roble 2021,3.7,718,4.55,España,Utiel-Requena
80,Finca Venta de Don Quijote,2022,5164468,Tango Rojo Syrah 2022,3.2,159,4.6,España,La Mancha
81,Séptimo Sentido,2023,3780395,Tempranillo 2023,3.6,34,4.6,España,Castelló
82,Pagos de Aráiz,2021,86346,Navarra Tinto Roble 2021,3.7,34,4.6,España,Navarra
83,Poesia,2017,2036896,Criança 2017,3.1,371,4.6,España,Cataluña
84,Celler Batea,2020,1466323,Torre del Moro Criança Tinto 2020,3.6,25,4.67,España,Terra Alta
85,Infinitus,2023,74433,Syrah 2023,3.1,921,4.7,España,Castilla
86,Don Diego Escolano,2011,1927816,Gran Reserva 2011,3.4,98,4.73,España,Cariñena
87,Oliveda,2023,2137074,Masia Oliveda Negre Jove 2023,3.3,462,4.74,España,Empordà
88,Poesia,2019,5590738,Garnacha Negra 2019,3.2,77,4.8,España,Cataluña
89,Miedes,2023,1167366,Garnacha 2023,3.5,1447,4.8,España,Calatayud
90,Borsao Bodegas,2021,1657138,Joven (Selección) 2021,3.3,42,4.85,España,Campo de Borja
91,Familia Torres,2023,1385210,Sangre de Toro 2023,3.5,40188,4.85,España,Cataluña
92,Marqués de Altillo,2023,1218269,Tinto 2023,3.3,1510,4.9,España,Rioja
93,Dehesa de Luna,2023,8577675,Luna Lunera Tempranillo - Syrah 2023,3.7,387,4.9,España,Castilla
94,Bodegas Aragonesas,2020,1577616,Coto de Hayas Tempranillo - Cabernet Sauvignon Roble 2020,3.6,246,4.9,España,Campo de Borja
95,Particular,2022,4311709,Garnacha 2022,3.7,91,4.9,España,Cariñena
96,Particular,2023,4311709,Garnacha 2023,3.6,1994,4.9,España,Cariñena
97,Altiplà Wines,2023,4931609,El Destraler Negre 2023,3.4,216,4.9,España,Terra Alta
98,Finca La Estacada,2023,1122846,Envejecido 6 Meses En Barrica 2023,3.5,2202,4.93,España,Uclés
99,Finca La Estacada,2022,1122846,Envejecido 6 Meses En Barrica 2022,3.5,2202,4.93,España,Uclés
100,Cellar Vins Algars,2023,7237693,Organic Tinto 2023,3.5,90,4.95,España,Vino de España
101,Tarón,2023,2014623,Tempranillo 2023,3.3,767,4.95,España,Rioja Alta
102,Bodegas Cosme Palacio,2021,1135925,Milflores Rioja Tinto 2021,3.5,142,4.95,España,Rioja
103,Bodegas Príncipe de Viana,2022,1570095,Colección Monovarietales Syrah Roble 2022,3.3,1499,4.95,España,Navarra
104,Azabache,2021,6111944,Crianza 2021,3.2,73,4.95,España,Rioja
105,Monte Ory,2020,1654195,Crianza 2020,3.5,215,4.95,España,Navarra
106,Viñas del Vero,2023,23477,Roble Cabernet Sauvignon - Merlot Somontano 2023,3.6,46,4.96,España,Somontano
107,Oliveda,2023,3296854,Marrec Tinto 2023,3.3,467,4.99,España,Empordà
108,El Miracle,2021,5563599,Art 2021,3.7,2342,4.99,España,Alicante
109,Hoya de Cadenas,2020,76606,Reserva Privada 2020,3.5,3333,4.99,España,Utiel-Requena
110,Félix Solís,N.V.,5445838,The Guv’nor N.V.,4.0,23443,4.99,España,Valdepeñas
111,Finca Manzanos,2020,4188323,Garnacha 2020,3.7,160,4.99,España,Rioja
112,Bodegas Piqueras,2020,1488203,Castillo de Almansa Crianza 2020,3.5,1766,4.99,España,Almansa
113,Cellers Unió,2023,1242488,Roureda Cabernet Sauvignon 2023,3.0,444,5.0,España,Tarragona
114,René Barbier,2022,1283889,Roble 2022,3.2,34,5.0,España,Cataluña
115,El Circo,2017,4296175,Director Special Selection Garnacha 2017,3.7,234,5.0,España,Cariñena
116,Ladrón de Lunas,2021,6933144,La oBejita Tinta Roble Bobal 2021,3.3,160,5.0,España,Valencia
117,Bodega Pirineos,2023,2696722,Montesierra Red Blend 2023,3.1,1524,5.0,España,Somontano
118,Bodegas Ayuso,2019,1138136,Estola Reserva 2019,3.6,63,5.02,España,La Mancha
119,Laus,2023,5465255,Tinto Joven 2023,3.4,1270,5.05,España,Somontano
120,Bodega Pirineos,2023,5380342,3404 Tinto 2023,3.8,275,5.05,España,Somontano
121,Montemar,2023,7362767,Garnacha Tinta 2023,3.7,131,5.1,España,Terra Alta
122,Borsao Bodegas,2022,1136710,Selección 2022,3.7,433,5.1,España,Campo de Borja
123,Pagos del Rey,2021,1710204,Arnegui Tempranillo Rioja 2021,3.6,197,5.1,España,Rioja
124,Canforrales,2020,1591323,Crianza Cabernet Sauvignon 2020,3.6,167,5.12,España,La Mancha
125,Bodegas la Eralta,2019,9440203,Hacienda El Olmo Crianza 2019,3.9,162,5.12,España,Rioja
126,Bodegas Lagunilla,2021,1129460,Crianza 2021,3.6,94,5.14,España,Rioja
127,Bodegas Aragonesas,2020,1825919,Coto De Hayas Crianza 2020,3.5,71,5.14,España,Campo de Borja
128,Castelo de Pedregosa,2018,3167689,Petit Rubi 2018,3.5,25,5.15,España,Penedès
129,Monte Toro,2023,4540924,3 Añada Selección 2023,3.5,1918,5.15,España,Toro
130,Sinforiano,2019,2320912,Sinfo Viñas Viejas Tinto Roble 2019,3.5,367,5.2,España,Cigales
131,Azpilicueta,2018,1822301,Crianza 2018,3.8,260,5.2,España,Rioja
132,Borsao Bodegas,2022,1657138,Joven (Selección) 2022,3.5,49,5.2,España,Campo de Borja
133,Laus,2022,5465255,Tinto Joven 2022,3.4,1270,5.2,España,Somontano
134,Pago de Larrea,2023,2640145,Cæcus 2023,3.7,229,5.2,España,Rioja Alavesa
135,Familia Torres,2022,1385210,Sangre de Toro 2022,3.6,69,5.2,España,Cataluña
136,Laudum,2022,3944352,Roble Monastrell - Syrah 2022,3.7,34,5.23,España,Valencia
137,Casa de la Ermita,2023,1207041,Roble 2023,3.3,631,5.23,España,Jumilla
138,Infinitus,2022,74434,Cabernet Sauvignon 2022,3.1,441,5.25,España,Vino de España
139,Azabache,2020,6111944,Crianza 2020,3.2,73,5.25,España,Rioja
140,Mureda,2020,1739486,Oak Aged Syrah 2020,3.2,59,5.25,España,Valdepeñas
141,TorreVinas,2018,3262213,Alicante Tinto De Torrevinas Doble Pasta 2018,3.5,32,5.25,España,Alicante
142,Infinitus,2022,1770974,Tempranillo 2022,3.2,677,5.25,España,Castilla
143,Vista Alegre,2018,1545875,Crianza 2018,3.7,52,5.25,España,Rioja
144,Infinitus,2022,74433,Syrah 2022,3.1,921,5.25,España,Castilla
145,Mureda,2019,3136863,Merlot 2019,3.4,265,5.25,España,La Mancha
146,Damalisco,2022,1625632,Roble 2022,3.6,256,5.26,España,Toro
147,Bodegas Aradon,2023,1500052,Tinto 2023,3.5,1554,5.28,España,Rioja
148,Pío del Ramo,2023,6649181,Betola The Cat 2023,3.7,190,5.29,España,Jumilla
149,Viore,2018,4170932,5 Meses en Barrica Tinto 2018,3.4,99,5.3,España,Toro
150,Cellers Tarroné,2023,9952062,La Pinxa del Barri Garnatxa Negra 2023,3.5,52,5.3,España,Terra Alta
151,Carlos Serres,2023,1477639,Rioja Tempranillo 2023,3.5,6781,5.3,España,Rioja
152,Bodegas Ochoa,2021,1787783,Calendas Tinto 2021,3.6,28,5.3,España,Navarra
153,Bodegas Olarra,2021,76314,Otoñal Rioja 2021,3.3,2460,5.3,España,Rioja
154,Raimat,2023,2057155,Clamor Tinto 2023,3.5,175,5.3,España,Costers del Segre
155,Volver,2020,4486087,Madame Bobalu Bobal 2020,3.7,167,5.32,España,Valencia
156,Duc de Foix,2023,1263762,Cabernet Sauvignon 2023,3.2,381,5.35,España,Penedès
157,Marqués de la Concordia,2021,6936101,Rioja Santiago Segundo Año 2021,3.8,690,5.35,España,Rioja
158,Félix Solís,N.V.,6266660,Mucho Más Tinto N.V.,4.2,91508,5.35,España,Vino de España
159,Viñas del Cénit,2014,2397871,Villano 2014,3.5,279,5.35,España,Tierra del Vino de Zamora
160,Aldeya,2023,1595728,Tinto 2023,3.3,538,5.35,España,Cariñena
161,Clos Pons,2023,9578205,Torracollons Tinto 2023,3.5,182,5.35,España,Costers del Segre
162,Viñas del Vero,2023,1757223,Somontano Tinto 2023,3.4,34,5.35,España,Somontano
163,Marques de Tomares,2022,9164248,J3 2022,3.7,53,5.35,España,Rioja
164,Gran Feudo,2020,12305,Crianza 2020,3.6,165,5.39,España,Navarra
165,Vila Corona,2021,2237659,Llabustes Ull de Llebre 2021,3.5,64,5.4,España,Costers del Segre
166,Bodegas Nekeas,2021,95435,Navarra Crianza 2021,3.4,310,5.4,España,Navarra
167,Juan Gil,2022,11073496,Comoloco 2022,3.7,67,5.4,España,Vino de España
168,Bodegas Aragonesas,2021,1577616,Coto de Hayas Tempranillo - Cabernet Sauvignon Roble 2021,3.6,115,5.4,España,Campo de Borja
169,Empordàlia,2023,1217624,Sinols Negre 2023,3.4,1387,5.4,España,Empordà
170,Bodegas Aragonesas,2022,1577616,Coto de Hayas Tempranillo - Cabernet Sauvignon Roble 2022,3.6,82,5.4,España,Campo de Borja
171,Familia Torres,2021,7689363,Mas Rabell Tempranillo 2021,3.6,101,5.44,España,Penedès
172,Torremorón,2023,1303593,Tempranillo 2023,3.6,4031,5.44,España,Ribera del Duero
173,Yugo,2021,1391860,Crianza Tempranillo 2021,3.6,423,5.45,España,La Mancha
174,Bodegas Javier San Pedro Ortega,2023,3973869,Cueva de Lobos Joven 2023,3.6,559,5.45,España,Rioja
175,Bodegas Vallobera,2023,4363095,Tinto Rioja 2023,3.4,42,5.45,España,Rioja
176,Finca La Estacada,2022,5197184,Ocho y Medio Tinto Velasco 2022,3.6,778,5.47,España,Castilla
177,Los Hermanos Manzanos,2021,2216555,Crianza 2021,3.6,1441,5.47,España,Rioja
178,Mas Ramoneda,2023,4702419,El Pedrol 2023,2.6,57,5.48,España,Costers del Segre
179,Señorío de Nava,2023,1136539,Ribera del Duero Tinto Joven 2023,3.4,1049,5.48,España,Ribera del Duero
180,Laudum,2019,7317279,XII Plus Monastrell 2019,3.7,47,5.49,España,Valencia
181,Bodegas Valdemar,2023,15481,Conde de Valdemar Tempranillo 2023,3.5,94,5.49,España,Rioja
182,Vinicola de Castilla,2024,3874666,Pago Peñuelas 2024,3.4,39,5.49,España,Castilla
183,Beso de Vino,2023,8370988,Garnacha Viñas Viejas 2023,3.5,351,5.5,España,Cariñena
184,Freixenet,2022,1252649,Mia Tinto 2022,3.5,84,5.5,España,Castilla y León
185,Beso de Vino,2022,3316211,Syrah - Garnacha 2022,3.5,2973,5.5,España,Cariñena
186,Beso de Vino,2018,4181289,Organic Tempranillo 2018,3.3,471,5.5,España,Cariñena
187,Murviedro,2023,9950512,Audentia Syrah 2023,3.7,98,5.5,España,Valencia
188,Federico Paternina,2022,13190,Banda Azul Crianza 2022,3.6,298,5.5,España,Rioja
189,Valcarlos,2019,1169714,Fortius Crianza 2019,3.7,25,5.51,España,Navarra
190,Lan,2019,88830,Crianza Rioja 2019,3.8,1324,5.51,España,Rioja
191,Bodegas Cosme Palacio,2018,1135925,Milflores Rioja Tinto 2018,3.2,279,5.55,España,Rioja
192,Marqués de la Concordia,2022,6936101,Rioja Santiago Segundo Año 2022,3.8,316,5.55,España,Rioja
193,Valderiz,2021,1155142,Valdehermoso Joven 2021,3.7,31,5.59,España,Ribera del Duero
194,Guelbenzu,2020,1901038,Vierlas 2020,3.7,46,5.6,España,Ribera del Queiles
195,Bodegas Príncipe de Viana,2020,1561396,Crianza 2020,3.5,41,5.6,España,Navarra
196,Oriol Rossell,2023,2292261,Xino-Xano Tinto 2023,3.3,765,5.6,España,Penedès
197,Ramón Roqueta,2022,1667265,Garnacha 2022,3.5,3245,5.65,España,Cataluña
198,Joan Sardà,2023,11161226,Aladelta Tinto 2023,3.7,94,5.65,España,Penedès
199,Murviedro,2023,6525780,Audentia Petit Verdot 2023,3.7,588,5.65,España,Valencia
200,El Coto,2020,8619,Crianza 2020,3.7,2675,5.66,España,Rioja Alavesa
201,Covitoro,2022,1148258,Cermeño Tinta de Toro 2022,3.3,894,5.67,España,Toro
202,Bodega Sommos,2023,9902730,Merlot - Cabernet Roble 2023,3.7,952,5.7,España,Somontano
203,Bodega Pirineos,2019,73344,Montesierra Crianza 2019,3.3,1242,5.7,España,Somontano
204,Bodegas Príncipe de Viana,2023,4611595,Colección Monovarietales Tempranillo Roble 2023,3.3,1720,5.75,España,Navarra
205,Marqués de la Concordia,2018,1153105,Crianza Rioja 2018,3.8,543,5.75,España,Rioja
206,Aldeya,2023,1286987,Garnacha 2023,3.5,2459,5.75,España,Cariñena
207,Oliveda,2021,5744051,Origens 2021,3.6,393,5.78,España,Empordà
208,Gran Feudo,2017,12305,Crianza 2017,3.7,636,5.79,España,Navarra
209,D. Mateos,2023,7180092,Letargo Vendimia Seleccionada Tempranillo 2023,3.7,613,5.8,España,Rioja
210,Azul y Garanza,2013,1176487,Abril 2013,3.2,73,5.8,España,Navarra
211,Venta La Vega - Bodegas Almanseñas,2021,1177721,Calizo de Adaras 2021,3.1,185,5.8,España,Castilla
212,Garriguella,2023,8021055,Pessetero Tinto 2023,3.4,72,5.82,España,Empordà
213,Ederra,2020,1653817,Rioja Crianza 2020,3.6,553,5.84,España,Rioja
214,Altavins,2023,1241735,Almodí Petit Tinto 2023,3.6,5516,5.85,España,Terra Alta
215,Lagar de Aso,2020,5381273,Crianza 2020,3.3,110,5.86,España,Rioja
216,Volver,2020,1125132,Tarima Monastrell 2020,3.8,1121,5.86,España,Alicante
217,Celler Batea,2020,1311196,Primicia Criança 2020,3.4,42,5.87,España,Terra Alta
218,Laudum,2021,3944352,Roble Monastrell - Syrah 2021,3.8,64,5.9,España,Valencia
219,Bodegas Fontana,2021,1181172,Dominio de Fontana Roble Tempranillo - Syrah 2021,3.7,34,5.9,España,Uclés
220,Castillo Perelada,2023,2352415,Empordà Jardins Negre 2023,3.6,29,5.9,España,Empordà
221,Borsao Bodegas,2020,1401444,Bole 2020,3.9,80,5.9,España,Campo de Borja
222,Sierra Salinas,2021,9245045,El Caire Monastrell 2021,4.0,26,5.9,España,Vino de España
223,René Barbier,2022,2939518,Abocado Semiseco 2022,3.6,33,5.9,España,Penedès
224,Castaño,2022,85758,Hécula Monastrell 2022,3.5,46,5.93,España,Yecla
225,Falset Marçà,2023,1137782,Falset Tinto 2023,2.9,381,5.94,España,Montsant
226,Honoro Vera,2020,2200226,Monastrell 2020,3.9,272,5.95,España,Jumilla
227,Vinos López,2021,11085626,El Ventilador Tinto 2021,3.7,42,5.95,España,Valdejalón
228,Barahonda,2023,1172227,Carro 2023,3.7,8557,5.95,España,Yecla
229,Garriguella,2023,1878834,Puntils Rouge 2023,3.4,341,5.98,España,Empordà
230,Castillo de Monjardin,2021,10133787,Vinedos del Villar Tempranillo 2021,3.7,63,5.99,España,Navarra
231,Montesoro,2021,2504756,Mencia 2021,3.2,78,5.99,España,Bierzo
232,Celler Masroig,2023,98958,Solà Fred 2023,3.7,32,5.99,España,Montsant
233,Ferré I Catasús,2022,3868131,Compta Ovelles Negre 2022,3.2,2652,5.99,España,Penedès
234,Campillo,2022,1910299,El Niño de Campillo Rioja 2022,3.5,42,5.99,España,Rioja
235,Idrias,2023,1235284,Las Planas Tempranillo 2023,3.2,417,6.0,España,Somontano
236,Bodegas Cosme Palacio,2019,2260236,Glorioso  Rioja Crianza 2019,3.8,243,6.0,España,Rioja
237,Oliveda,2023,3826657,Món Perdut Negre 2023,3.3,232,6.0,España,Empordà
238,Pago Casa del Blanco,2017,2055912,d Mente 2017,3.3,353,6.0,España,La Mancha
239,El Circo,2020,5386947,Forzudo Crianza 2020,3.6,214,6.0,España,Cariñena
240,Ilurce,2022,1322339,Tempranillo 2022,3.5,400,6.0,España,Rioja
241,Toresanas,2022,3797044,Orot Roble 2022,3.5,679,6.0,España,Toro
242,Viña Paceta,2020,1633874,Crianza 2020,3.7,229,6.01,España,Rioja
243,Bodegas Paco Mulero,2021,7273354,Prisma Garnacha 2021,3.7,323,6.05,España,Calatayud
244,Finca Antigua,2019,13941,Syrah 2019,3.6,1073,6.05,España,La Mancha
245,Tarón,2019,1468396,4m 2019,3.8,34,6.05,España,Rioja Alta
246,Bodegas Paco Mulero,2022,7235779,Prisma Tempranillo 2022,3.8,60,6.05,España,Rioja
247,Finca Antigua,2019,13940,Petit Verdot 2019,3.8,73,6.05,España,La Mancha
248,Bodegas Paco Mulero,2023,7373190,Prisma Garnacha Tintorera - Monastrell 2023,3.7,261,6.05,España,Almansa
249,Bodegas Ponce,2023,1643710,Depaula Monastrell 2023,3.6,2039,6.09,España,Manchuela
250,Urbion,2019,1903520,Cuvée Tinto 2019,3.2,1005,6.09,España,Rioja
251,Carlos Valero,2022,3803525,Matarile 2022,3.5,112,6.1,España,Somontano
252,Honoro Vera,2023,1196853,Garnacha 2023,4.1,185,6.1,España,Calatayud
253,Familia Torres,2021,3385833,Mas Rabell 2021,3.7,45,6.1,España,Cataluña
254,Risky Grapes,2020,1810779,La Traca Bobal 2020,3.7,169,6.1,España,Valencia
255,Señorío de Sarria,2019,1125826,Crianza 2019,3.7,87,6.1,España,Navarra
256,Ruda,2012,2573948,Ensamblaje 2012,3.2,26,6.1,España,La Mancha
257,Lo Cometa,2021,5111546,Garnatxa Negra - Syrah 2021,3.5,466,6.1,España,Terra Alta
258,Enate,2015,1827903,Tinto 2015,3.7,38,6.1,España,Somontano
259,Campo Viejo,2019,76784,Crianza 2019,3.7,1344,6.1,España,Rioja
260,Atalaya,2023,1193347,Laya 2023,4.0,283,6.11,España,Almansa
261,Juan Gil,2022,1134571,Jumilla Yellow Label 2022,3.9,436,6.13,España,Jumilla
262,Monte Odina,2013,3948838,Garnacha 2013,3.5,53,6.15,España,Somontano
263,Bodega Otto Bestué,2023,6798141,Garnacha 2023,3.6,541,6.15,España,Somontano
264,Gran Cerdo,2021,1367703,Tempranillo 2021,3.8,29,6.17,España,Rioja
265,Federico Paternina,2018,1182290,Rioja Reserva 2018,3.8,593,6.17,España,Rioja
266,Neo,2022,1991390,Disco 2022,3.4,1388,6.17,España,Ribera del Duero
267,Volver,2020,1170617,Paso a Paso Tempranillo 2020,3.6,230,6.18,España,Castilla
268,Luzon,2022,2356292,Finca Luzon 2022,3.3,4145,6.2,España,Jumilla
269,Volver,2023,1125132,Tarima Monastrell 2023,3.8,32,6.2,España,Alicante
270,D. Mateos,2020,7980800,Letargo Crianza 2020,3.5,101,6.2,España,Rioja
271,Pacheco,2023,1522459,Cuvée Elena 2023,3.5,160,6.2,España,Jumilla
272,Domeco de Jarauta,2022,1941119,Viña Marro Vendimia Seleccionada 2022,3.6,466,6.2,España,Rioja
273,Sinforiano,2021,2320912,Sinfo Viñas Viejas Tinto Roble 2021,3.5,367,6.2,España,Cigales
274,Carviresa,2024,10666506,3 Setmanes Negre 2024,3.7,68,6.2,España,Costers del Segre
275,Terrer de La Creu,2023,5795267,Negre 2023,3.5,88,6.2,España,Cataluña
276,Volver,2022,10489363,Tarima Selección Monastrell - Syrah 2022,3.9,32,6.21,España,Alicante
277,Hacienda López de Haro,2021,1224522,Crianza 2021,3.7,250,6.23,España,Rioja
278,Sierra Salinas,2021,79954,MO Monastrell 2021,3.4,5709,6.25,España,Alicante
279,El Coto,2021,8619,Crianza 2021,3.7,362,6.25,España,Rioja Alavesa
280,Tridente,2022,6399011,Gota de Arena 2022,4.0,65,6.25,España,Castilla y León
281,Atalaya,2023,11845800,El Vigía de la Atalaya Organico 2023,4.1,467,6.25,España,Almansa
282,Enate,2022,1154856,Cabernet Sauvignon - Merlot 2022,3.6,15443,6.25,España,Somontano
283,Homenaje,2022,12241008,Torre del Homenaje Garnacha Roble 2022,3.5,111,6.25,España,Navarra
284,La Cepa de Pelayo,2023,7478741,Ole de Aromas Bobal 2023,3.5,163,6.25,España,Manchuela
285,Corcovo - Megía e Hijos,2023,1233914,Tempranillo 2023,3.6,719,6.25,España,Valdepeñas
286,El Coto,2019,8619,Crianza 2019,3.7,4841,6.25,España,Rioja Alavesa
287,Peique,2022,2413128,Mencía 2022,3.6,32,6.26,España,Bierzo
288,De Muller,2022,1403986,Solimar Tinto 2022,3.8,50,6.27,España,Tarragona
